Pokemon,Usage%,RawUsage,Type1,Type2,HP,Atk,Def,SpAtk,SpDef,Speed
Chansey,0.50490%,11702,Normal,None,250,5,5,35,105,50
Iron Valiant,12.96719%,325396,Fairy,Fighting,74,130,90,120,60,116
Hatterene,7.06292%,161061,Psychic,Fairy,57,90,95,136,103,29
Cloyster,0.05647%,18906,Water,Ice,50,95,180,85,45,70
Regice,0.15509%,3301,Ice,None,80,50,100,100,200,50
Wo-Chien,0.23694%,4529,Dark,Grass,85,85,100,95,135,70
Ursaluna,1.21280%,55895,Ground,Normal,130,140,105,45,80,50
Pincurchin,0.04121%,7538,Electric,None,48,101,95,91,85,15
Sceptile,0.03999%,6712,Grass,None,70,85,65,105,85,120
Ninetales,3.78283%,44997,Fire,None,73,76,75,81,100,100
Tyranitar,1.33768%,49808,Rock,Dark,100,134,110,95,100,61
Drifblim,0.03407%,4777,Ghost,Flying,150,80,44,90,54,80
Breloom,0.04713%,13705,Grass,Fighting,60,130,80,60,60,70
Skeledirge,0.90833%,47001,Fire,Ghost,104,75,100,110,75,66
Kingdra,0.03191%,11108,Water,Dragon,75,95,95,95,95,85
Masquerain,0.03761%,3326,Bug,Flying,70,60,62,100,82,80
Ogerpon,1.80343%,23087,Grass,None,80,120,84,60,96,110
Entei,0.06936%,6368,Fire,None,115,115,85,90,75,100
Serperior,0.84762%,76647,Grass,None,75,75,95,75,95,113
Hydreigon,1.28620%,34067,Dark,Dragon,92,105,90,125,90,98
Slowbro,0.19175%,6672,Water,Psychic,95,75,110,100,80,30
Raging Bolt,12.85460%,240328,Electric,Dragon,125,73,91,137,89,75
Porygon2,0.08439%,11065,Normal,None,85,80,90,105,95,60
Whimsicott,0.55498%,10613,Grass,Fairy,60,67,85,77,75,116
Manaphy,1.34691%,18463,Water,None,100,100,100,100,100,100
Rotom-Wash,1.62637%,71243,Electric,Water,50,65,107,105,107,86
Indeedee,0.77607%,15795,Psychic,Normal,60,65,55,105,95,95
Amoonguss,1.32496%,26867,Grass,Poison,114,85,70,85,80,30
Sandy Shocks,0.17832%,15888,Electric,Ground,85,81,97,121,85,101
Necrozma,0.14327%,4156,Psychic,None,97,107,101,127,89,79
Pecharunt,15.89511%,156018,Poison,Ghost,88,88,160,88,88,88
Roaring Moon,12.32447%,230323,Dragon,Dark,105,139,71,55,101,119
Sinistcha,1.83356%,52679,Grass,Ghost,71,60,106,121,80,70
Tentacruel,1.08120%,10245,Water,Poison,80,70,65,80,120,100
Thundurus,0.07375%,7132,Electric,Flying,79,115,70,125,80,111
Mamoswine,0.33828%,19149,Ice,Ground,110,130,80,70,60,80
Mew,0.13490%,14066,Psychic,None,100,100,100,100,100,100
Orthworm,0.11101%,6724,Steel,None,70,85,145,60,55,65
Suicune,0.04966%,5433,Water,None,100,75,115,90,115,85
Golduck,1.04459%,1931,Water,None,80,82,78,95,80,85
Heatran,0.88632%,63104,Fire,Steel,91,90,106,130,106,77
Toxtricity,0.02624%,8586,Electric,Poison,75,98,70,114,70,75
Primarina,4.76688%,138802,Water,Fairy,80,74,74,126,116,60
Cinderace,8.51823%,190297,Fire,None,80,116,75,65,75,119
Jirachi,0.19471%,17695,Steel,Psychic,100,100,100,100,100,100
Feraligatr,0.02666%,11224,Water,None,85,105,100,79,83,78
Clefable,7.09444%,106309,Fairy,None,95,70,73,95,90,60
Kyurem,11.35051%,170828,Dragon,Ice,125,130,90,130,90,95
Brambleghast,0.09320%,3996,Grass,Ghost,55,115,70,80,70,90
Armarouge,0.70990%,14624,Fire,Psychic,85,60,100,125,80,75
Kricketune,0.24737%,694,Bug,None,77,85,51,55,51,65
Probopass,0.04051%,1652,Rock,Steel,60,55,145,75,150,40
Zamazenta,20.53205%,228136,Fighting,None,92,120,115,80,115,138
Incineroar,0.16340%,22526,Fire,Dark,95,115,90,80,90,60
Thundurus-Therian,0.23003%,21680,Electric,Flying,79,105,70,145,80,101
Enamorus-Therian,1.10407%,7845,Fairy,Flying,74,115,110,135,100,46
Arcanine,0.10297%,8056,Fire,None,90,110,80,100,80,95
Mimikyu,0.47922%,29239,Ghost,Fairy,55,90,80,50,105,96
Crawdaunt,0.04082%,9008,Water,Dark,63,120,85,90,55,55
Hawlucha,0.49739%,29506,Fighting,Flying,78,92,75,74,63,118
Typhlosion-Hisui,0.04182%,9396,Fire,Ghost,73,84,78,119,85,95
Empoleon,0.47958%,15094,Water,Steel,84,86,88,111,101,60
Glimmora,6.53036%,159267,Rock,Poison,83,55,90,130,81,86
Ogerpon-Wellspring,15.03602%,249232,Grass,Water,80,120,84,60,96,110
Deoxys-Speed,5.36610%,37835,Psychic,None,50,95,90,95,90,180
Goodra-Hisui,0.21530%,27899,Steel,Dragon,80,100,100,110,150,60
Fezandipiti,4.43327%,9504,Poison,Fairy,88,91,82,70,125,99
Iron Leaves,0.03046%,3283,Grass,Psychic,90,130,88,70,108,104
Talonflame,0.64136%,21754,Fire,Flying,78,81,71,74,69,126
Cobalion,0.11209%,4536,Steel,Fighting,91,90,129,90,72,108
Araquanid,2.27739%,133483,Water,Bug,68,70,92,50,132,42
Galvantula,0.15667%,21120,Bug,Electric,70,77,60,97,60,108
Gardevoir,0.05216%,16051,Psychic,Fairy,68,65,65,125,115,80
Meowscarada,4.53179%,163897,Grass,Dark,76,110,70,81,70,123
